nome_produto;preco_atual;descricao;cor;tamanhos_disponiveis;objetivo;url_site;url_imagem;loja;categoria;genero_destinado
Veja Tênis Veja Campo Bold Masculino;719.99;"VEJA Campo Bold Suede ""Black/Pierre"" Dê um toque especial ao seu guarda-roupa com o VEJA Campo Bold Suede ""Black/Pierre""! Com um acabamento em suede que proporciona sofisticação e conforto, eles são perfeitos para quem não abre mão do estilo. O design é minimalista, mas impactante, e a famosa logo ´V´ garante que você se destaque onde quer que vá. Esses tênis são versáteis o suficiente para serem usados em diversas ocasiões, sempre com um olhar atento à sustentabilidade. Aposte na combinação perfeita de conforto e consciência!";Não informado;Não informado;Estilo;https://www.artwalk.com.br/tenis-veja-campo-bold-masculino-v3692-b-001/p;https://artwalk.vtexassets.com/arquivos/ids/560109-300-375?v=638781761705870000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja Condor Royale Feminino;889.99;Os Tênis Veja Condor Royale em marrom são a combinação perfeita de estilo e conforto para quem não abre mão de um look descolado. Confeccionados em alveo mesh, eles garantem uma respirabilidade incrível, ideal para te acompanhar em todas as aventuras do dia a dia. O tom marrom traz um toque rústico e versátil, que combina com diversas produções, desde os passeios no parque até aquele rolê com os amigos. E não podemos esquecer da famosa logo ´V´, que simboliza o compromisso da marca com a sustentabilidade. Com esses tênis, cada passo seu é um passo em direção a um futuro mais consciente. Não perca a chance de adicionar essa peça essencial ao seu guarda-roupa!;Marrom;Não informado;Dia a Dia / Estilo;https://www.artwalk.com.br/tenis-veja-condor-royale-feminina-v3854-a-200/p;https://artwalk.vtexassets.com/arquivos/ids/572647-300-375?v=638781742850330000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Veja Tênis Veja Volley Masculino;729.99;Se você está em busca de um sneaker que una conforto e estilo, os Tênis Veja Volley em azul são a escolha certa! Com uma construção em suede de qualidade, eles oferecem um toque suave e sofisticado. O azul vibrante dá aquele up no visual, enquanto a logo ´V´ garante autenticidade. Perfeitos para qualquer ocasião, desde um passeio casual até um encontro mais descolado. E claro, com a Veja, você ainda faz a sua parte pelo planeta. Aposte no azul e arrase!;Azul;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-veja-volley-masculina-v3722-b-400/p;https://artwalk.vtexassets.com/arquivos/ids/572537-300-375?v=638781764037470000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja V-90 Feminino;799.99;Tênis Veja V-90 Feminino Branco Prepare-se para dar um salto de estilo com o nosso Tênis Veja V-90 Feminino Branco! Este tênis não é apenas ultra-confortável, mas também chic com um toque de sofisticação. Feito como couro e camurça , este par é um verdadeiro vencedor em todos os sentidos. Características O Tênis Veja V-90 Feminino Branco é confeccionado com V-90 O.T Couro eCamurça, material de alta qualidade que garante durabilidade e um toque suave ao seu pé. A cor branca dá um toque de elegância e versatilidade, tornando-o o par perfeito para qualquer ocasião. O design é minimalista, mas com detalhes pensados com carinho: o logotipo da marca Veja destaca-se discretamente, dando um charme extra. A sola robusta garante conforto para longas caminhadas ou para aquele dia cheio de compromissos. Versatilidade Quer você esteja se preparando para um dia de trabalho ou para um passeio no parque, o Tênis Veja V-90 Feminino Branco é a escolha perfeita. Sua cor neutra permite que você o combine com praticamente qualquer roupa. Imagine-o com jeans e uma camiseta para um look casual, ou com calças de alfaiataria para um visual mais sofisticado. Portanto, não perca tempo! Adicione este tênis ao seu carrinho agora mesmo e experimente o conforto e a versatilidade que ele oferece.;Branco;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-veja-v-90-feminino-v3657-a-100/p;https://artwalk.vtexassets.com/arquivos/ids/556548-300-375?v=638635778298670000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Veja Tênis Veja Campo Chromefree Masculino;719.99;Tênis Veja Campo Chromefree Masculina Branco Deslumbre-se com o nosso Tênis Veja Campo Chromefree Masculina na cor branca, um calçado atemporal que promete elevar seu estilo a novas alturas. Feito com o mais puro couro Campo Chfree, este tênis é um exemplo perfeito de como a elegância pode ser combinada com conforto e sustentabilidade. Características O Tênis Veja Campo Chromefree é produzido com couro Campo Chfree, conhecido por sua qualidade superior e durabilidade. O material Chromefree Couro destaca-se pela sua suavidade ao toque e sua capacidade de adaptar-se a diferentes formas e tamanhos de pés, garantindo conforto ao longo do dia. Além disso, este tênis possui um design elegante na cor branca, que funciona como uma tela em branco para o seu estilo. Com uma sola resistente e flexível, este tênis é a opção perfeita para quem busca por um calçado que ofereça conforto e suporte durante todo o dia. Versatilidade Com seu design minimalista e cor neutra, o Tênis Veja Campo Chromefree Masculina Branco é a definição de versatilidade. Este tênis pode ser facilmente combinado com uma variedade de looks, seja para um passeio casual no parque, uma ida ao escritório, ou até mesmo um encontro à noite. Então, se você está procurando por um tênis que pode te acompanhar em todas as suas aventuras, não procure mais: o Tênis Veja Campo Chromefree Unissex Branco é o calçado que você estava procurando!;Branco;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-veja-campo-chromefree-masculino-v2485-b-100/p;https://artwalk.vtexassets.com/arquivos/ids/570900-300-375?v=638781747253200000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja V-12 Stitch Feminino;799.99;Os Tênis Veja V-12 Stitch em branco são a definição de estilo e consciência! Com uma construção em material sintético de alta qualidade, eles oferecem um visual limpo e moderno, perfeito para qualquer ocasião. O design minimalista se destaca por detalhes sutis e a famosa logo ´V´, que garante autenticidade. Super confortáveis e versáteis, esses tênis são ideais tanto para um dia casual quanto para um look mais arrumado. Além disso, a Veja sempre se compromete com a sustentabilidade, então você pode se sentir bem ao usá-los. Invista em um clássico que nunca sai de moda!;Branco;Não informado;Casual / Estilo;https://www.artwalk.com.br/tenis-veja-v-12-stitch-feminino-v3679-a-100/p;https://artwalk.vtexassets.com/arquivos/ids/572548-300-375?v=638781732278400000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Veja Tênis Veja Campo Bold Feminino;719.99;Os Tênis Veja Campo Bold em preto são a escolha perfeita para quem quer conforto e estilo sem abrir mão da sustentabilidade. Feitos em suede de alta qualidade, eles trazem um visual robusto e ao mesmo tempo sofisticado, ideal para compor looks urbanos. O design é super versátil, perfeito para usar em qualquer ocasião, desde um passeio casual até uma saída mais estilosa. Com a emblemática logo ´V´, esses tênis são sinônimo de autenticidade. Dê um passo à frente na moda consciente com os Veja Campo Bold!;Preto;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-veja-campo-bold-feminino-v3692-a-001/p;https://artwalk.vtexassets.com/arquivos/ids/572554-300-375?v=638781734336200000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Veja Tênis Veja V-12 Stitch Masculino;799.99;Chegou a hora de dar um upgrade no seu estilo com os Tênis Veja V-12 Stitch! Com uma base branca que combina com tudo, esse modelo é confeccionado em material sintético que une durabilidade e conforto. O design é clean, com detalhes que fazem a diferença e a emblemática logo ´V´ em destaque. Perfeito para quem ama um visual despojado e moderno, esses tênis são a pedida ideal para qualquer rolê. E com o compromisso da Veja com o meio ambiente, você pode usar sem peso na consciência. Aposte na tendência e garanta o seu!;Não informado;Não informado;Estilo;https://www.artwalk.com.br/tenis-veja-v-12-stitch-masculino-v3679-b-100/p;https://artwalk.vtexassets.com/arquivos/ids/572551-300-375?v=638781760989770000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja Volley Feminino;729.99;Os Tênis Veja Volley em marrom são a definição de estilo e conforto! Feitos em suede de alta qualidade, esses sneakers trazem um toque rústico e sofisticado ao seu look. O tom terroso é perfeito para combinar com qualquer outfit, desde jeans até looks mais despojados. Com a icônica logo ´V´ destacada, você mostra que tem bom gosto e se preocupa com o planeta, já que a Veja é super sustentável. Ideal para o dia a dia, esse tênis garante que você se sinta confortável e estiloso em qualquer ocasião. Se joga nessa vibe marrom e arrase!;Marrom;Não informado;Dia a Dia / Estilo;https://www.artwalk.com.br/tenis-veja-volley-feminino-v3724-a-200/p;https://artwalk.vtexassets.com/arquivos/ids/572644-300-375?v=638781741163930000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Veja Tênis Veja V-90 Masculino;799.99;Tênis Veja V-90 Masculina Branco Se você está em busca de um tênis moderno, sustentável e que combine com absolutamente tudo, então o Tênis Veja V-90 Masculina Branco é o seu match perfeito! Características Este tênis é um verdadeiro camaleão do estilo, produzido com o sofisticado V-90 O.T Couro e Camurça. Ele é a prova de que sustentabilidade e moda podem andar lado a lado, porque a Veja acredita em criar produtos que não só te deixam incrível, mas também ajudam o planeta. O Tênis Veja V-90 tem um design clean, o que o torna uma escolha versátil para qualquer ocasião. Seu tom branco clássico é acentuado por detalhes em Marsala, adicionando um toque de cor e estilo ao design. Este tênis possui uma sola resistente que promete durabilidade, enquanto seu interior é feito para oferecer o máximo de conforto a cada passo. Versatilidade Com o Tênis Veja V-90 Masculina Branco, você nunca precisará se preocupar com o que calçar. Seja para ir ao trabalho, para um passeio no parque, um café com amigos ou até mesmo para uma festa descontraída, este tênis combina com tudo! Combine-o com jeans e uma camiseta para um look casual, ou use com uma roupa mais formal para adicionar um toque de descontração. A cor branca é atemporal e fica ótima com qualquer paleta de cores, então as opções são infinitas. Vale mencionar que este tênis não é apenas sobre look, mas também sobre sentir-se bem. Afinal, você estará usando um produto que valoriza o meio ambiente e os recursos naturais. Com o Tênis Veja V-90 Unissex Branco, você estará andando com estilo e consciência. Então, o que você está esperando? Adicione este tênis incrível à sua coleção hoje mesmo!;Branco;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-veja-v-90-masculino-v3657-b-100/p;https://artwalk.vtexassets.com/arquivos/ids/556541-300-375?v=638635778272670000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja Volley Masculino;729.99;Pronto para adicionar um toque de classe ao seu guarda-roupa? Os Tênis Veja Volley em marrom são a escolha perfeita! Com um design clean e feito em suede de qualidade, eles são ideais para quem busca conforto sem abrir mão do estilo. O marrom combina facilmente com diversas peças, tornando-os versáteis para qualquer ocasião. A famosa logo ´V´ não é só um detalhe, mas uma afirmação de estilo. Aposte nesse clássico que une estética e sustentabilidade em um só passo!;Marrom;Não informado;Estilo;https://www.artwalk.com.br/tenis-veja-volley-masculino-v3724-b-200/p;https://artwalk.vtexassets.com/arquivos/ids/571865-300-375?v=638781764736800000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja Condor Royale Masculino;889.99;Se você está em busca de um tênis que una conforto e estilo, os Tênis Veja Condor Royale em marrom são a escolha ideal! Feitos com material alveo mesh, eles proporcionam uma ventilação perfeita, mantendo seus pés fresquinhos e confortáveis durante todo o dia. O marrom é uma cor super fácil de combinar e traz um ar descontraído e moderno para qualquer look. Com a icônica logo ´V´ em destaque, esses tênis não são apenas uma peça de moda, mas também uma declaração de sua preocupação com o meio ambiente. Pronto para dar um passo na direção certa? Garanta o seu e arrase em qualquer ocasião!;Marrom;Não informado;Estilo / Moda;https://www.artwalk.com.br/tenis-veja-condor-royale-masculina-v3854-b-200/p;https://artwalk.vtexassets.com/arquivos/ids/574081-300-375?v=638779165575300000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja Campo Bold Masculino;719.99;Os Tênis Veja Campo Bold em amarelo são pura atitude! Com uma vibe vibrante, esses sneakers são feitos em suede de alta qualidade, proporcionando conforto e estilo em cada passo. O tom amarelo é perfeito para quem quer se destacar e adicionar um toque de cor ao visual. A famosa logo ´V´ traz autenticidade ao design, enquanto a palmilha macia garante um conforto excepcional para o dia a dia. Além de tudo isso, a Veja é super comprometida com a sustentabilidade, então você pode usar com orgulho. Aposte nessa combinação perfeita de estilo e consciência!;Amarelo;Não informado;Dia a Dia / Estilo;https://www.artwalk.com.br/tenis-veja-campo-bold-masculina-v3694-b-700/p;https://artwalk.vtexassets.com/arquivos/ids/572622-300-375?v=638781762413570000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Veja Tênis Veja Volley Feminino;729.99;Os Tênis Veja Volley em azul são a combinação perfeita de estilo e conforto! Com um design contemporâneo, feitos em suede de alta qualidade, eles trazem um toque de cor e personalidade ao seu visual. A logo ´V´ é um detalhe que nunca passa despercebido, mostrando seu bom gosto e atenção aos detalhes. Ideais para um dia corrido ou um rolê descontraído, esses tênis ainda têm o compromisso com a sustentabilidade que a Veja preza. Seja ousado, escolha o azul e arrase!;Azul;Não informado;Estilo;https://www.artwalk.com.br/tenis-veja-volley-feminino-v3722-a-400/p;https://artwalk.vtexassets.com/arquivos/ids/572630-300-375?v=638781740699230000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Rivalry Nadeshot Masculino;499.99;"adidas Rivalry Nadeshot ""Chalk Pearl/Core Black"" Já se passaram mais de 30 anos, mas os tênis adidas Rivalry ainda trazem o calor – desta vez com acenos de estilo do jogador profissional Nadeshot. Estes tênis de cano baixo se reconectam ao legado de dominar o solo e canalizam essa energia para as ruas. A parte superior em couro macio e o forro em tecido proporcionam estilo tradicional e conforto durante todo o dia. A sola de borracha, um elemento marcante, flexiona e adere a cada movimento seu. Amarre a Rivalidade e sinta o passado e o presente colidirem. Seus rivais não saberão o que os atingiu.";Não informado;Não informado;Estilo;https://www.artwalk.com.br/tenis-adidas-rivalry-nadeshot-masculino-ie341-6-100/p;https://artwalk.vtexassets.com/arquivos/ids/533294-300-375?v=638550076444870000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Vans Tênis Vans Knu Skool Unissex;499.99;Vans Knu Skool O Vans UA Knu Skool em cinza é a escolha definitiva para quem busca um visual descolado e contemporâneo. Feito com material sintético premium, este modelo combina estilo e funcionalidade de forma excepcional. A construção robusta garante durabilidade, enquanto o design clássico da Vans adiciona um toque de autenticidade. A sola resistente proporciona tração superior, tornando-o perfeito para todas as aventuras urbanas. Confortável e estiloso, é a escolha perfeita para os amantes da moda urbana.;Cinza;Não informado;Estilo / Moda;https://www.artwalk.com.br/tenis-vans-ua-knu-skool-unissex-crpka-q-001/p;https://artwalk.vtexassets.com/arquivos/ids/535933-300-375?v=638761909891130000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
adidas Tênis adidas Gazelle Masculino;449.99;""" Tênis adidas Gazelle Masculino Características O Tênis adidas Gazelle Masculino é um clássico atemporal que nunca sai de moda. Feito com materiais de alta qualidade, este tênis é produzido em couro premium, garantindo durabilidade e conforto para o seu dia a dia. Além disso, possui o icônico logo da adidas nas laterais, agregando um toque de estilo e autenticidade ao seu look. Versatilidade Com sua cor neutra e design clean, o Tênis adidas Gazelle Masculino é extremamente versátil, podendo ser combinado com uma ampla variedade de peças de roupa. Seja para um visual casual com jeans e camiseta, ou para um look mais arrumado com calça de alfaiataria, este tênis é a escolha perfeita para quem busca praticidade e estilo em um só calçado. Invista no conforto e na elegância do Tênis adidas Gazelle e arrase por onde passar!""";Não informado;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-adidas-gazelle-masculino-ig619-6-400/p;https://artwalk.vtexassets.com/arquivos/ids/572021-300-375?v=638755917011400000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Mizuno Tênis Mizuno Contender Shinzo Unissex;699.99;Elevando o jogo com um toque de sofisticação, o Tênis Mizuno Contender Shinzo Unissex é uma obra-prima em cinza. Com uma fusão de materiais de alta qualidade, como Denning, Canvas Mesh, este tênis não apenas oferece estilo, mas também durabilidade e conforto. Seja nas ruas ou nas pistas, este tênis é a escolha definitiva para quem busca o equilíbrio perfeito entre moda e funcionalidade.;Cinza;Não informado;Estilo / Moda;https://www.artwalk.com.br/tenis-mizuno-contender-shinzo-unissex-22120-0-001/p;https://artwalk.vtexassets.com/arquivos/ids/530660-300-375?v=638543948633670000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Mizuno Tênis Mizuno Wave Rider 10 Sashiko Unissex;849.99;Tênis Mizuno Wave Rider 10 Sashiko Unissex Branco Características O Tênis Mizuno Wave Rider 10 Sashiko Unissex Branco é confeccionado com materiais de alta qualidade, proporcionando conforto excepcional aos pés. O tecido utilizado no calçado contribui para a respirabilidade, mantendo os pés frescos durante o uso prolongado. Além disso, a durabilidade do material garante que o tênis permaneça em ótimo estado por muito tempo. O design em cor Branco traz um toque de elegância e versatilidade ao calçado, permitindo combinações com diversos estilos de roupas, desde looks esportivos até mais casuais. Versatilidade Com seu design moderno e confortável, o Tênis Mizuno Wave Rider 10 Sashiko Unissex Branco é perfeito para diversas ocasiões. Seja para praticar esportes, caminhar no parque ou até mesmo para um passeio descontraído, este tênis se destaca pela Sua versatilidade. Combinando conforto, durabilidade e estilo, ele se adapta facilmente a diferentes ambientes e atividades, tornando-se um item essencial no guarda-roupa de quem busca praticidade e elegância.;Branco;Não informado;Passeio / Estilo;https://www.artwalk.com.br/tenis-mizuno-wave-rider-10-sashiko-unissex-22470-0-100/p;https://artwalk.vtexassets.com/arquivos/ids/550428-300-375?v=638621036232200000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Mizuno Tênis Mizuno Wave Rider 10 Sport Unissex;799.99;O Wave Rider 10 Premium é uma mistura sofisticada de malha de náilon e camurça macia, tudo em gradientes da mesma tonalidade.;Não informado;Não informado;Não informado;https://www.artwalk.com.br/tenis-mizuno-wave-rider-10-sport-masculino-22090-0-100/p;https://artwalk.vtexassets.com/arquivos/ids/558983-300-375?v=638647814673970000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Mizuno Tênis Mizuno Wave Mujin TL Mimetcs Unissex;929.99;Wave Mujin TL destaca o nosso desejo de combinar a tradição e a inovação. Usamos nossa sola de corrida de trilha de alta tração do Mujin 6, com sola MICHELIN, e a combinamos com um design superior desenvolvido com base em um esboço de arquivo de nosso icônico designer Tuan Lee.O Pack Mimetics é Inspirado em texturas de líquen e rochas, nossos especialistas em fabril desenvolveram tecidos de engenharia jacquard premium, que refletem essa necessidade de se adaptar e seguir em frente como mundo.;Não informado;Não informado;Corrida / Trilha;https://www.artwalk.com.br/tenis-mizuno-wave-mujin-tl-mimetcs-unissex-22450-0-001/p;https://artwalk.vtexassets.com/arquivos/ids/558963-300-375?v=638647814597070000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Mizuno Tênis Mizuno Wave Rider Beta Mimetics Unissex;849.99;"Mizuno Wave Rider Beta Mimetics ""Cinza Claro""Combinando tradição e artesanato com tecnologia e inovação japonesa, o novo Wave Rider ß é uma homenagem a um dos verdadeiros ícones da Mizuno: o Wave Rider. Feito com a combinação de materiais premium como suede e mesh, o Wave Rider Beta, além de acabamento refinado, reacende a herança japonesa de um ícone do passado para empoderar os jovens nos dias de hoje. O Pack Mimetics é Inspirado em texturas de líquen e rochas, nossos especialistas desenvolveram tecidos de engenharia jacquard premium, que refletem essa necessidade de se adaptar e seguir em frente como mundo";Cinza;Não informado;Não informado;https://www.artwalk.com.br/tenis-mizuno-wave-rider-beta-mimetics-unissex-22440-0-001/p;https://artwalk.vtexassets.com/arquivos/ids/562139-300-375?v=638654795896300000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Mizuno Tênis Mizuno Wave Prophecy Ls Shinzo Unissex;2099.99;Mizuno Wave Prophecy LS x Shinzo DouradoA clássica silhueta do Prophecy da Mizuno em uma collab exclusiva com a marca Shinzo. Esta colaboração é uma homenagem aos Jogos Olímpicos de 2024, sediados em Paris. O conceito por trás do produto é o Ouro parecer que o produto foi imergido em um tonel do mineral. Os materias escolhidos são refletivos, imitando o brilho da medalha. Shinzo é uma boutique de sneakers parisiense referência em streetwear;Não informado;Não informado;Streetwear;https://www.artwalk.com.br/tenis-mizuno-wave-prophecy-ls-shinzo-masculino-22620-0-700/p;https://artwalk.vtexassets.com/arquivos/ids/562145-300-375?v=638654797591000000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Mizuno Tênis Mizuno Wave Rider Beta Sashiko Unissex;849.99;Tênis Mizuno Wave Rider B Sashiko Unissex Branco Características Este Tênis Mizuno Wave Rider B Sashiko Unissex na cor Branco é o equilíbrio perfeito entre estilo e desempenho. Feito com material de alta qualidade, que combina conforto, durabilidade e estilo em um único produto. O material proporciona um ajuste perfeito, garantindo conforto durante o uso prolongado. Além disso, a durabilidade do material garante que seu tênis permaneça em ótimo estado por muito tempo. O design na cor Branco traz um toque de elegância e versatilidade para o visual, combinando facilmente com diferentes estilos, do casual ao esportivo. Versatilidade Este Tênis Mizuno Wave Rider B Sashiko Unissex Branco é a escolha ideal para quem busca versatilidade e estilo. Combinando perfeitamente com diferentes peças de roupa, desde um look esportivo até um visual mais casual, este tênis é a peça-chave para um estilomoderno. Use-o para ir à academia, passear no parque ou até mesmo para um dia de compras. Sua versatilidade garante que você esteja sempre confortável e estiloso em qualquer ocasião.;Branco;Não informado;Academia / Esportivo;https://www.artwalk.com.br/tenis-mizuno-wave-rider-b-sashiko-unissex-22460-0-100/p;https://artwalk.vtexassets.com/arquivos/ids/550438-300-375?v=638621036273530000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Nike Tênis Nike Air Force 1 LV8 3 BG Infantil;599.99;"Nike Air Force 1 LV8 GS ""Notebook Doodle - Light British Tan"" O Nike Air Force 1 LV8 GS ""Notebook Doodle - Light British Tan"" é a opção ideal para quem busca um sneaker que une estilo e resistência! Com um material têxtil que proporciona conforto e respirabilidade, ele é perfeito para o uso diário dos pequenos. O tom marrom é super versátil, combinando com diversas roupas e garantindo um visual descolado. Além disso, a famosa sola do Air Force 1 oferece tração e durabilidade, fazendo desse tênis o parceiro ideal para brincar e explorar. Dê ao seu filho o conforto e a atitude que ele merece com o Air Force 1 LV8 3!";Marrom;Não informado;Estilo;https://www.artwalk.com.br/tenis-nike-air-force-1-lv8-3-bg-infantil-fn473-1-200/p;https://artwalk.vtexassets.com/arquivos/ids/536746-300-375?v=638574478311330000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Air Force 1 LV8 3 BG Infantil;499.99;Tênis Nike Air Force 1 LV8 3 BG Infantil Verde Características O Tênis Nike Air Force 1 LV8 3 BG Infantil na cor Verde é confeccionado em material resistente e confortável, proporcionando durabilidade e estilo ao mesmo tempo. O material de alta qualidade não só garante o conforto dos pequenos pés, mas também a durabilidade do calçado, tornando-o ideal para o dia a dia agitado das crianças. A cor Marrom adiciona um toque de sofisticação e versatilidade ao visual, combinando facilmente com diferentes estilos e cores de roupa. Seja para um look mais casual ou para um visual mais despojado, esse tênis é a escolha perfeita para os pequenos fashionistas. Versatilidade Além de ser extremamente confortável e durável, o Tênis Nike Air Force 1 LV8 3 BG Infantil Marrom é versátil e pode ser usado em diversas ocasiões. Com seu design moderno e casual, o tênis é perfeito para compor looks no estilo , que mescla peças esportivas com itens mais urbanos. Seja para um passeio no parque, uma festa de aniversário ou um dia na escola, esse tênis é a escolha certa para garantir conforto, estilo e praticidade em qualquer situação.;Verde;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-nike-air-force-1-lv8-3-bg-infantil-fn473-1-100/p;https://artwalk.vtexassets.com/arquivos/ids/538221-300-375?v=638585507357730000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Air Force 1 LV8 2 Bg Infantil;499.99;"Nike Air Force 1 LV8 GS ""Light Silver/Astronomy Blue"" O Nike Air Force 1 LV8 GS ""Light Silver/Astronomy Blue"" é a escolha perfeita para os pequenos que amam estilo e conforto! Com um design que combina com tudo, ele é feito em material sintético durável, garantindo resistência para todas as aventuras. O visual clássico do Air Force 1 traz aquele toque descolado que nunca sai de moda, enquanto a sola oferece ótima tração para não deixar ninguém escorregar. Ideal para o dia a dia, esse tênis é perfeito para brincar, correr e mostrar todo o estilo na escola. Aposte no Air Force 1 LV8 2 e deixe seu filho pronto para brilhar!";Não informado;Não informado;Dia a Dia / Estilo;https://www.artwalk.com.br/tenis-nike-air-force-1-lv8-2-bg-infantil-fn473-0-002/p;https://artwalk.vtexassets.com/arquivos/ids/546214-300-375?v=638602793901130000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Air Force 1 GS Infantil;499.99;Tênis Nike Air Force 1 GS Infantil Azul Características Este Tênis Nike Air Force 1 GS Infantil na cor Azul é feito de um material resistente, que combina durabilidade e estilo urbano. A tonalidade azul traz um toque de versatilidade e modernidade ao calçado. Versatilidade Perfeito para diversas ocasiões, este tênis é a escolha ideal para um visual streetwear autêntico e cheio de personalidade. Combine-o com diferentes looks e arrase por aí!;Azul;Não informado;Urbano / Estilo;https://www.artwalk.com.br/tenis-nike-air-force-1-gs-infantil-hj920-1-400/p;https://artwalk.vtexassets.com/arquivos/ids/546920-300-375?v=638608927975330000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Court Borough Low Recraft Infantil;449.99;Tenis Nike Court Borough Low R I Características O Tênis Nike Court Borough Low R I é o calçado perfeito para quem busca estilo e conforto em um só produto. Confeccionado em material leve e resistente, ele proporciona durabilidade e suporte para o seu dia a dia. Versatilidade Com um design moderno e versátil, este tênis é ideal para compor diversos looks, desde os mais casuais até os mais despojados. Sua cor neutra e elegante torna fácil combiná-lo com diferentes peças do seu guarda-roupa, garantindo um visual cheio de estilo em qualquer ocasião. Além disso, sua sola antiderrapante oferece segurança e estabilidade a cada passo que você der. Perfeito para quem não abre mão do conforto, mas também não dispensa um toque de moda no visual. Adquira já o seu e arrase por aí!;Não informado;Não informado;Dia a Dia / Estilo;https://www.artwalk.com.br/tenis-nike-court-borough-low-recraft-infantil-hm629-3-480/p;https://artwalk.vtexassets.com/arquivos/ids/558922-300-375?v=638646963452770000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Court Borough Low Recraft Ps Infantil;399.99;Tênis Nike Court Borough Low Recraft Ps Infantil Azul Características Este Tênis Nike Court Borough Low Recraft Ps Infantil é um verdadeiro coringa para os pequenos. Feito com material resistente que oferece durabilidade e estilo urbano, é perfeito para acompanhar as aventuras do dia a dia. A cor Azul traz um toque de personalidade ao visual, garantindo um look descolado e cheio de atitude. Versatilidade Com seu design moderno e confortável, este tênis é ideal para diversas ocasiões no estilo streetwear. Seja para um passeio no parque, uma tarde com os amigos ou até mesmo para ir à escola, o Tênis Nike Court Borough Low Recraft Ps Infantil Azul é a escolha perfeita para os pequenos que não abrem mão de estilo e conforto.;Azul;Não informado;Dia a Dia / Passeio;https://www.artwalk.com.br/tenis-nike-court-borough-low-recraft-ps-infantil-hm629-8-480/p;https://artwalk.vtexassets.com/arquivos/ids/568397-300-375?v=638671323861900000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Jordan Tênis Air Jordan 4 Retro Masculino;1799.99;Air Jordan 4 Retro RMSTD Fear No icônico comercial, Jordan manda a real: “Eu tenho medo do que não vou me tornar. Você tem medo do que eu posso me tornar.” Esse espírito ressoa em cada par do Fear Pack. Com uma paleta pesada de preto, branco, cinza e platina, o sneaker chega com um cabedal estiloso em preto, Pure Platinum e Cool Grey, além de detalhes brancos que destacam. A entressola é salpicada de preto, com a clássica unidade Nike Air vermelha visível e o solado de borracha branco. E pra fechar com chave de ouro, as palmilhas trazem a frase poderosa de Jordan: “Eu tenho medo do que não vou me tornar. Você tem medo do que eu posso me tornar.”;Branco;Não informado;Estilo / Moda;https://www.artwalk.com.br/tenis-air-jordan-4-retro-masculino-fq813-8-002/p;https://artwalk.vtexassets.com/arquivos/ids/570798-300-375?v=638735847815170000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
